image,dataset,vessel_density,vessel_tortuosity,branching_points,vessel_length,average_vessel_width,ridge_width,max_ridge_height,neovascularization_score,disk_diameter,disk_circularity,disk_center_x,disk_center_y
synthetic_rop_43.png,synthetic_rop_images,0.0,,0,0,,36.77301,892.3228115429976,10249,617.3502566652627,0.0477352473927143,156.38834471423036,214.7161813638368
synthetic_rop_48.png,synthetic_rop_images,0.0,,0,0,,33.079433,601.4465894823912,18706,564.6993806070722,0.030789555096216524,158.02841262996503,269.87077763403767
synthetic_rop_30.png,synthetic_rop_images,0.0,,0,0,,48.515064,803.5570919356011,8057,474.69772974728784,0.04227903293975119,198.64798282291784,273.0197310430557
synthetic_rop_35.png,synthetic_rop_images,0.0,,0,0,,22.26338,543.4795304332997,20107,481.9539777044331,0.05142497871306004,158.1406770741975,259.2068496754955
synthetic_rop_18.png,synthetic_rop_images,0.00714874267578125,0.0,0,167,3.1965367066458708,47.373714,656.8409244253893,13140,432.09703405596787,0.06638500338304501,190.05583742498635,238.44214402618658
synthetic_rop_12.png,synthetic_rop_images,0.0,,0,0,,33.014893,934.9844918499986,12896,512.8058137457313,0.04890959336413568,253.72775690436535,256.3256187783244
synthetic_rop_6.png,synthetic_rop_images,0.0,,0,0,,74.74043,717.6071348586216,7550,429.1936676770807,0.06936611080013858,206.7187093920208,239.16168542121707
synthetic_rop_45.png,synthetic_rop_images,0.0,,0,0,,44.700813,763.5247212762662,14482,526.0474148332452,0.060636614088931375,263.8386491211926,232.47720622066808
synthetic_rop_2.png,synthetic_rop_images,0.0001220703125,0.0,0,5,1.3106734188916631,37.911842,837.085419775067,10592,429.0512479620702,0.06177299711016747,233.2128095172223,242.00340296029879
synthetic_rop_11.png,synthetic_rop_images,0.0,,0,0,,27.876217,563.5672098339293,19609,455.51312732809475,0.05716881625277956,190.2110650204953,236.26067106845684
synthetic_rop_1.png,synthetic_rop_images,0.0,,0,0,,63.210503,696.7352438336961,11731,427.9339870122131,0.06673681424066857,193.10487526768085,231.6332007675835
synthetic_rop_19.png,synthetic_rop_images,0.0,,0,0,,43.859356,478.29906962067156,17605,446.0110464004708,0.044063476207022494,179.97242632939913,238.8682761975473
synthetic_rop_27.png,synthetic_rop_images,0.00780487060546875,0.0,0,130,4.821538797382346,88.41386,719.8360924543864,7705,445.18240595883447,0.0520728410177179,213.48088091689365,237.8732075859588
synthetic_rop_16.png,synthetic_rop_images,0.0,,0,0,,33.523308,516.108515721258,19073,711.9491342791908,0.07499212148022898,293.0988907198264,240.5495156947068
synthetic_rop_20.png,synthetic_rop_images,0.0,,0,0,,63.210503,696.7352438336961,11731,427.9339870122131,0.06673681424066857,193.10487526768085,231.6332007675835
synthetic_rop_42.png,synthetic_rop_images,0.010509490966796875,0.0,0,157,4.3090336250980075,34.137608,842.6114169651394,14105,459.67015231347114,0.0617264095715617,207.36832337061318,244.30064114924798
synthetic_rop_8.png,synthetic_rop_images,0.0,,0,0,,88.783394,604.0,8717,420.6781558410536,0.06828352038370454,176.40364913088524,252.21653044779555
synthetic_rop_39.png,synthetic_rop_images,0.010494232177734375,0.0,0,187,4.246019972186122,51.33163,635.1330569258697,12981,544.6133476377031,0.05895687135194349,160.49871218105017,247.00207768123906
